"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"3727",3727,0,0,1.21,-0.006,3.56,66,0.93,0,0.02,0.01,-0.01,4e-04,-4e-04,-0.002,0.037,1.85,29,48,65,77
"3728",3728,0,0,2.86,0.003,3.45,90,0.96,0,0.04,-0.14,-0.06,4e-04,-0.001,0.002,0.071,0.66,44,25,84,58
"3729",3729,0,0,2.1,0.07,9.27,86,0.92,0.05,0.02,-0.39,0.1,3e-04,3e-04,0.005,0.037,0.52,42,41,49,94
"3730",3730,0,0,2.55,0.014,6.7,73,0.82,-0.05,0.03,-0.21,0.06,1e-04,8e-04,-0.002,0.089,0.72,47,45,28,69
"3731",3731,0,0,1.31,0.058,13.27,95,0.91,0.01,0.04,-0.11,0.05,1e-04,-3e-04,0.004,0.041,1.78,27,33,82,79
"3732",3732,0,0,1.14,0.028,6.63,81,0.81,-0.05,-0.09,-0.3,-0.07,0,5e-04,0.004,0.033,0.06,43,43,57,58
"3733",3733,0,0,1.4,0.035,1.36,57,0.96,-0.05,-0.02,-0.31,-0.07,-2e-04,-6e-04,-0.001,0.1,1.82,29,29,61,31
"3734",3734,0,0,1.59,0.024,18.13,94,0.92,-0.09,-0.08,0.01,-0.09,1e-04,-9e-04,0.001,0.068,0.91,41,48,27,62
"3735",3735,0,0,2.08,0.064,1.41,46,0.89,0.08,-0.03,-0.24,0.05,-8e-04,2e-04,0,0.084,1.22,32,35,41,36
"3736",3736,0,0,3.42,0.015,9.49,44,0.97,0.02,-0.04,-0.4,0.09,6e-04,5e-04,-0.005,0.051,0.67,35,37,73,74
"3737",3737,0,0,0.91,0.064,4.27,75,0.97,-0.07,-0.02,0.28,-0.02,-2e-04,7e-04,0,0.049,0.02,47,40,83,58
"3738",3738,0,0,3.23,0.049,5.28,59,0.85,-0.1,0.08,0.38,-0.02,-2e-04,2e-04,0,0.069,1.19,37,36,83,69
"3739",3739,0,0,1.22,0.023,9.44,96,1,0.05,0,-0.46,-0.02,-1e-04,-9e-04,-0.002,0.083,1.29,36,30,70,66
"3740",3740,0,0,2.19,-0.002,12,97,0.88,-0.06,-0.05,-0.19,0.01,6e-04,-0.001,0.005,0.086,1.8,26,44,65,27
"3741",3741,0,0,3.27,0.022,14.27,79,0.93,-0.07,0.07,-0.07,-0.02,0,-8e-04,0.004,0.074,1.13,29,28,31,80
"3742",3742,0,0,2.65,0.037,12.52,93,0.91,-0.02,-0.07,-0.42,0.05,5e-04,-9e-04,-0.002,0.07,1.14,40,44,46,76
"3743",3743,0,0,1.39,0.068,14.68,38,0.86,0.08,-0.01,0,-0.04,-3e-04,-2e-04,0,0.054,0.09,47,35,35,86
"3744",3744,0,0,2.18,0.005,18.97,100,0.98,0.05,0.08,-0.29,0,-4e-04,0,0.005,0.042,1.54,32,47,71,34
"3745",3745,0,0,1.94,0.031,8.69,99,0.83,-0.03,-0.04,0.26,0.04,-7e-04,-2e-04,0.001,0.045,0.53,43,44,49,82
"3746",3746,0,0,1.5,0.042,17.12,40,0.87,-0.07,-0.08,0.15,0.05,9e-04,-0.001,-0.004,0.058,1.99,42,39,30,49
"3747",3747,0,0,1.08,0.014,10.9,81,0.92,-0.08,0.08,0.42,-0.03,0.001,4e-04,0.004,0.071,1.47,49,49,77,78
"3748",3748,0,0,2.64,0.006,17.55,33,0.81,-0.04,0.06,-0.29,-0.09,-1e-04,-0.001,0.003,0.073,1.63,26,46,39,58
"3749",3749,0,0,2.81,0.07,1.64,80,0.95,0.01,0,-0.27,0.06,-5e-04,-6e-04,-0.005,0.042,1.82,48,40,37,90
"3750",3750,0,0,2.63,0.056,0.52,45,0.88,0.09,-0.08,-0.23,-0.02,9e-04,-4e-04,0.004,0.052,1.76,38,33,59,52
"3751",3751,0,0,1.6,0.043,12.33,85,0.98,-0.02,0.08,-0.41,0.01,-6e-04,0,-0.002,0.069,1.85,35,49,70,83
"3752",3752,0,0,0.98,0.031,1.57,41,0.89,0.04,0,-0.18,0.03,-3e-04,8e-04,0.002,0.098,1.16,42,44,94,29
"3753",3753,0,0,1.38,0.065,9.72,81,0.92,0.04,-0.08,0.27,0.01,-9e-04,-3e-04,-0.002,0.094,0.72,39,44,86,56
"3754",3754,0,0,2.33,0.034,3.83,76,0.95,0.07,-0.04,0.29,-0.07,4e-04,8e-04,-0.002,0.076,1.26,50,40,68,31
"3755",3755,0,0,0.97,0.012,2.12,61,0.84,0.01,-0.09,-0.09,-0.06,4e-04,-1e-04,0.002,0.06,0.49,27,42,61,55
"3756",3756,0,0,2.71,0.058,10.01,77,0.81,0.04,-0.05,0.43,0.03,8e-04,-5e-04,-0.004,0.074,1.66,27,30,59,63
"3757",3757,0,0,1.6,0.016,8.57,54,0.86,0.06,-0.07,0.38,0.03,-3e-04,-3e-04,-0.001,0.098,0.83,42,29,83,69
"3758",3758,0,0,3.19,0.062,13.18,95,0.86,-0.08,-0.09,-0.03,-0.02,-5e-04,-8e-04,0.002,0.045,1.89,34,26,90,86
"3759",3759,0,0,1.95,-0.004,12.46,91,0.9,0.01,-0.01,0.2,0.09,0.001,-8e-04,-0.002,0.076,1.83,42,48,79,64
"3760",3760,0,0,1.64,0.003,6.75,61,0.8,0.03,0.02,-0.27,0.04,0.001,-6e-04,0.001,0.037,1.75,49,48,44,38
"3761",3761,0,0,1.92,0.033,7.92,74,0.95,0.09,-0.05,-0.15,-0.1,-8e-04,-9e-04,0.002,0.061,0.39,44,43,30,81
"3762",3762,0,0,3.09,0.06,14.86,97,0.91,0.05,0.07,0.02,-0.09,1e-04,-1e-04,-0.003,0.041,0.37,47,46,55,48
"3763",3763,0,0,1.89,0.06,11.18,92,0.87,0.1,0.05,0.41,0.01,-4e-04,0,0.005,0.084,1.67,33,25,41,89
"3764",3764,0,0,2.94,0.068,11.27,64,0.99,-0.04,-0.1,0.08,0.01,6e-04,-2e-04,0.001,0.071,0.7,33,35,86,90
"3765",3765,0,0,3.29,0.053,9.25,40,0.84,-0.08,-0.04,-0.19,-0.02,-5e-04,6e-04,-0.004,0.059,1.18,41,26,81,47
"3766",3766,0,0,3.42,0.033,2.11,36,0.84,0,-0.08,0.42,0.1,6e-04,-2e-04,-0.003,0.077,0.5,39,41,49,61
"3767",3767,0,0,2.1,0.044,9.93,48,0.91,0.04,-0.04,-0.18,0.09,2e-04,7e-04,-0.003,0.05,0.92,27,45,80,90
"3768",3768,0,0,1.99,0.06,7.77,71,0.82,0.08,-0.06,-0.38,-0.03,0.001,-8e-04,-0.004,0.092,1.29,46,48,42,85
"3769",3769,0,0,1.15,0.022,17.47,52,0.95,0.04,0.08,-0.33,0.05,-2e-04,-3e-04,0.001,0.079,1.91,27,28,85,40
"3770",3770,0,0,3.79,0.048,17,41,0.97,0.1,-0.08,-0.08,-0.05,1e-04,5e-04,0.003,0.038,0.25,38,29,70,58
"3771",3771,0,0,2.51,0.038,13.65,71,0.96,0.08,0,0.3,0.08,8e-04,-6e-04,-0.003,0.038,1.01,44,27,36,83
"3772",3772,0,0,3.65,0.062,1.45,83,0.92,0.03,-0.03,-0.19,0.04,-9e-04,7e-04,-0.003,0.07,0.94,41,38,84,27
"3773",3773,0,0,3.52,0.009,12.27,72,0.92,-0.01,0.07,-0.08,0.07,2e-04,-8e-04,-0.003,0.034,1.52,36,31,89,33
"3774",3774,0,0,1.49,0.02,13.27,67,0.94,0.02,0,0.44,-0.08,7e-04,-1e-04,-0.003,0.067,1.75,28,49,58,76
"3775",3775,0,0,3.02,0.064,12.17,37,0.97,0.09,0.03,0.3,0.04,-4e-04,0.001,-0.005,0.045,0.69,45,29,57,50
"3776",3776,0,0,2.36,-0.004,13.11,59,0.85,-0.06,-0.02,0.13,0.08,-5e-04,7e-04,0.002,0.052,0.88,29,29,28,30
"3777",3777,0,0,2.27,0.066,11.75,85,0.86,-0.08,0.01,0.3,0,5e-04,9e-04,0.001,0.042,0.25,29,33,79,40
"3778",3778,0,0,3.42,0.039,4.41,78,0.99,-0.08,0.07,-0.48,0.02,-7e-04,9e-04,-0.004,0.08,0.91,34,29,52,88
"3779",3779,0,0,2.63,0.053,3.22,93,0.9,0.06,0.09,-0.17,-0.09,-2e-04,6e-04,0.005,0.032,1.01,46,34,90,62
"3780",3780,0,0,1.33,0.041,19.96,92,0.87,-0.08,0.03,-0.4,0.08,-5e-04,-6e-04,0.005,0.068,1.9,45,33,67,90
"3781",3781,0,0,3.06,0.063,14.52,57,0.91,-0.01,0.02,-0.44,-0.09,3e-04,8e-04,0.004,0.07,1.12,33,30,30,83
"3782",3782,0,0,1.92,0.044,16.26,96,0.83,0.07,0.04,-0.19,-0.03,7e-04,-8e-04,-0.004,0.073,0.8,29,29,42,50
"3783",3783,0,0,2.37,0.033,16.01,33,0.9,-0.05,0,0.01,-0.05,8e-04,-1e-04,-0.003,0.049,0.14,38,36,94,94
"3784",3784,0,0,2.17,0.045,4.21,93,0.93,0.07,-0.09,0.19,0.03,-5e-04,3e-04,0.004,0.091,1.75,49,44,40,39
"3785",3785,0,0,3.33,0.014,5.62,49,0.85,0.07,-0.04,-0.45,-0.07,8e-04,7e-04,-0.002,0.068,0.7,36,42,41,38
"3786",3786,0,0,1.32,0.028,19.91,58,0.83,0.1,0.08,-0.39,0.04,5e-04,5e-04,0.004,0.083,0.52,44,31,88,55
"3787",3787,0,0,1.32,-0.005,19.3,58,0.83,-0.07,-0.08,0.24,0.04,-1e-04,5e-04,-0.003,0.063,1.18,47,26,74,31
"3788",3788,0,0,2.33,0.039,5.79,99,0.91,0.04,-0.08,-0.3,-0.07,9e-04,1e-04,0.003,0.099,1.06,37,42,64,88
"3789",3789,0,0,3.76,0.001,17.53,61,0.85,0.04,-0.05,-0.2,0.08,6e-04,-9e-04,-0.003,0.039,2,30,49,70,88
"3790",3790,0,0,1.93,0.068,8.86,41,0.9,0,-0.07,-0.22,0.02,2e-04,-0.001,0.005,0.043,0.59,32,46,36,80
"3791",3791,0,0,1.99,0.024,3.92,86,0.97,-0.05,0.06,-0.35,0.08,-2e-04,-8e-04,0.004,0.072,0.49,48,36,66,72
"3792",3792,0,0,2.95,0.06,14.26,91,0.86,-0.1,-0.08,0.09,0.08,-7e-04,5e-04,-0.003,0.067,1.33,28,49,35,54
"3793",3793,0,0,1.54,0.048,19.95,67,0.98,0.01,0.09,0.48,0.04,-0.001,-1e-04,-0.002,0.067,0.88,32,33,57,70
"3794",3794,0,0,2.28,0,2.63,82,0.95,-0.06,-0.06,0.34,0.09,0.001,-9e-04,-0.001,0.037,0.36,27,44,48,67
"3795",3795,0,0,1.87,0.043,16.75,56,0.97,0.08,-0.06,-0.3,0.01,3e-04,8e-04,-0.003,0.062,0.47,32,45,42,75
"3796",3796,0,0,3.6,0.04,16.07,61,0.89,-0.09,0.1,0.08,0.03,2e-04,1e-04,-0.003,0.043,0.04,42,29,34,68
"3797",3797,0,0,2.43,0.02,3.76,76,0.86,-0.01,0.09,-0.03,0.06,0.001,-2e-04,-0.004,0.087,0.46,40,29,94,89
"3798",3798,0,0,2.43,0.036,4.88,47,0.98,-0.03,0,0.49,0.09,9e-04,3e-04,-0.002,0.09,0.36,46,31,54,42
"3799",3799,0,0,3.48,0.063,0.88,71,0.87,0.09,0.02,0.31,0.08,-1e-04,6e-04,0.002,0.094,0.4,35,33,49,84
"3800",3800,0,0,1.58,0.062,5.1,71,0.89,-0.02,0.01,0.13,-0.01,-2e-04,-8e-04,-0.004,0.055,1.99,40,47,76,41
"3801",3801,0,0,3.01,0.019,4.49,42,0.92,0.07,0.02,0.27,0.05,6e-04,1e-04,0.004,0.094,1.52,37,36,68,57
"3802",3802,0,0,2.17,0.032,15.47,71,0.96,-0.04,-0.04,-0.47,0.05,-9e-04,-4e-04,-0.002,0.041,0.76,49,41,62,39
"3803",3803,0,0,0.94,0.046,13.41,39,0.84,0.01,0.02,0.45,0,6e-04,-1e-04,-0.004,0.072,0.32,30,36,79,49
"3804",3804,0,0,2.34,0.009,9.48,38,0.91,0.01,-0.02,0.04,0.05,-5e-04,-5e-04,-0.004,0.04,1.36,34,40,56,35
"3805",3805,0,0,3.44,0.07,1.73,68,0.84,0.08,0.08,-0.06,0,-1e-04,-3e-04,0.003,0.059,0.85,26,39,29,45
"3806",3806,0,0,1.3,0.027,2.66,78,0.86,-0.05,0,-0.42,-0.01,2e-04,-6e-04,-0.002,0.031,0.75,27,32,74,55
"3807",3807,0,0,2.4,-0.005,2.35,59,0.92,-0.06,0.04,0.04,0.01,-5e-04,-5e-04,0.004,0.052,1.41,35,48,74,87
"3808",3808,0,0,1.88,0.019,3.03,52,0.9,0.01,0.08,0.1,-0.05,4e-04,-3e-04,-0.001,0.094,0.64,48,47,49,48
"3809",3809,0,0,1.56,0.021,0.66,40,0.9,0.06,-0.08,-0.31,-0.01,0,-3e-04,0.003,0.05,1.95,39,33,77,47
"3810",3810,0,0,3.07,0.057,8.38,73,0.89,-0.03,0.1,-0.24,-0.01,7e-04,-5e-04,-0.003,0.038,1.17,31,35,95,45
"3811",3811,0,0,1.73,0.027,13.77,48,0.99,0.03,0.08,0.37,-0.03,-6e-04,-1e-04,-0.003,0.066,1,39,34,71,53
"3812",3812,0,0,1.53,0.003,15.25,87,0.9,-0.01,0.05,0.3,0,6e-04,8e-04,0.004,0.084,0.97,36,30,75,94
"3813",3813,0,0,2.77,0.001,5.02,84,0.98,-0.03,-0.04,0.49,0.03,-6e-04,-8e-04,-0.005,0.031,1.03,28,40,58,85
"3814",3814,0,0,1.8,0.033,2.24,85,0.91,0.08,0.02,-0.24,0.08,-3e-04,-1e-04,0,0.08,0.21,49,31,29,49
"3815",3815,0,0,2.96,0.009,12.42,43,0.81,0,0.04,-0.41,-0.08,-2e-04,-8e-04,0,0.049,1.6,28,34,80,39
"3816",3816,0,0,2.85,-0.003,1.13,78,0.94,0.08,-0.04,-0.03,-0.02,7e-04,3e-04,0,0.093,1.42,26,25,80,40
"3817",3817,0,0,1.11,0.056,18.44,81,0.96,-0.01,0.05,-0.01,-0.1,-8e-04,8e-04,-0.005,0.049,1.64,48,47,32,27
"3818",3818,0,0,1.09,0.04,4.01,41,0.82,0.02,0.09,0.03,0.08,0.001,-7e-04,0.001,0.03,0.83,30,35,33,57
"3819",3819,0,0,1.55,0.028,6.15,62,0.89,0.02,-0.04,0.3,0,-9e-04,-1e-04,0.003,0.034,1.97,26,45,90,52
"3820",3820,0,0,3.5,0.044,3.65,43,0.92,0.02,0.03,-0.18,-0.09,-2e-04,-9e-04,-0.004,0.061,0.7,32,29,87,78
"3821",3821,0,0,3.67,0.025,3.69,54,0.9,0.03,-0.03,-0.25,0.01,0.001,7e-04,-0.005,0.078,0.26,41,30,63,49
"3822",3822,0,0,3.05,0.008,4.68,61,0.88,-0.05,-0.09,-0.01,0.07,1e-04,-6e-04,0.002,0.081,0.36,44,47,26,40
"3823",3823,0,0,2.46,-0.001,18.83,51,0.85,0.02,0,0.39,0.02,7e-04,7e-04,0.003,0.082,1.65,46,34,71,76
"3824",3824,0,0,0.94,0.07,10.05,92,0.97,0.09,-0.09,0.21,-0.1,4e-04,2e-04,-0.002,0.096,0.2,46,28,42,39
"3825",3825,0,0,2.39,0.056,15.64,60,0.84,0.06,0.02,0.13,0.02,-3e-04,8e-04,0.001,0.086,1.05,28,36,52,31
"3826",3826,0,0,2.07,0.005,0.44,80,0.8,0.09,0.04,0.08,-0.08,-9e-04,-2e-04,-0.003,0.088,0.68,49,46,91,37
"3827",3827,0,0,0.92,0.033,1.21,94,0.94,0.09,0.08,0.19,-0.05,-1e-04,3e-04,-0.002,0.073,1.89,41,37,58,80
"3828",3828,0,0,1.4,0.031,14.52,42,0.95,-0.07,-0.06,0.27,0.09,4e-04,-7e-04,-0.004,0.062,1.8,32,49,65,49
"3829",3829,0,0,1.68,0.006,6.24,40,0.96,0.03,0,0.5,-0.03,6e-04,-6e-04,-0.005,0.048,0.86,40,28,51,37
"3830",3830,0,0,2.38,0.055,2.5,55,0.85,-0.05,-0.04,-0.5,0.07,0,2e-04,0.002,0.035,0.19,36,44,61,83
"3831",3831,0,0,3.22,-0.004,15.12,93,0.86,-0.1,0.01,-0.48,-0.09,2e-04,4e-04,0.002,0.05,0.17,29,34,37,69
"3832",3832,0,0,1.1,0.034,8.63,87,0.86,-0.1,0.03,0.44,-0.03,-8e-04,4e-04,-0.002,0.041,0.85,26,45,74,67
"3833",3833,0,0,1.74,-0.005,9.94,75,0.87,-0.04,0.07,0.32,0.04,-2e-04,1e-04,0.004,0.034,0.27,44,45,39,50
"3834",3834,0,0,2.74,0.044,17.62,85,0.97,0,-0.08,0.47,-0.1,-4e-04,-3e-04,0.002,0.049,0.71,35,43,33,79
"3835",3835,0,0,2.04,0.012,0.09,41,0.96,0,-0.06,-0.43,0.01,-2e-04,-9e-04,-0.002,0.082,1.4,39,32,51,68
"3836",3836,0,0,1.15,0.053,14.82,35,0.84,0.07,-0.06,0.01,0.09,4e-04,5e-04,0.003,0.03,0.97,26,25,71,89
"3837",3837,0,0,2.99,0.016,18.41,35,0.87,0.05,0.05,-0.26,-0.06,-4e-04,-6e-04,0.002,0.032,1.53,46,29,81,65
"3838",3838,0,0,1.18,0.02,17.21,56,0.97,0.04,-0.04,0.1,-0.03,1e-04,1e-04,0.003,0.088,0.17,43,36,55,70
"3839",3839,0,0,2.71,0.033,19.49,40,0.82,0.05,-0.03,-0.2,-0.05,-9e-04,9e-04,0.002,0.066,0.05,39,29,69,32
"3840",3840,0,0,2.13,0.034,18.72,69,0.98,0.03,0.08,-0.02,0.09,0,-5e-04,-0.004,0.03,0.29,41,39,34,27
"3841",3841,0,0,1.05,0.06,6.41,51,0.85,-0.05,-0.05,-0.46,-0.09,-0.001,1e-04,0.003,0.053,0.58,34,48,69,54
"3842",3842,0,0,1.56,0.021,3.51,48,0.9,0.09,0.05,-0.36,0.1,-6e-04,8e-04,0.002,0.099,0.16,44,39,46,47
"3843",3843,0,0,1.45,0.012,11.83,77,0.99,-0.03,-0.09,-0.38,-0.09,9e-04,-3e-04,0.001,0.05,1.78,48,49,77,46
"3844",3844,0,0,0.96,0.018,10.34,41,0.87,0.07,-0.1,0.18,0.04,4e-04,0,0.001,0.035,1.8,43,37,82,43
"3845",3845,0,0,1.97,0.012,17.81,48,0.9,-0.04,0.07,0.27,0.05,-4e-04,0,0.002,0.087,1.53,37,26,66,54
"3846",3846,0,0,2.15,0.005,0.75,66,0.91,-0.01,0.01,-0.46,-0.08,6e-04,-8e-04,0.005,0.032,1.92,37,31,66,65
"3847",3847,0,0,3.73,0.007,2.45,79,0.94,0.04,0,-0.12,-0.09,-5e-04,-3e-04,-0.001,0.054,1.24,33,38,49,89
"3848",3848,0,0,1.79,0.052,8.76,75,0.97,-0.09,0.1,0.21,0.1,-5e-04,5e-04,-0.004,0.084,1.37,41,37,72,46
"3849",3849,0,0,1.18,-0.005,2.79,44,0.91,-0.06,-0.06,-0.15,-0.06,7e-04,6e-04,-0.004,0.082,0.52,38,46,63,59
"3850",3850,0,0,3.74,0.057,19.44,99,0.89,-0.09,-0.1,0.47,-0.09,7e-04,7e-04,-0.005,0.051,0.56,41,39,38,67
"3851",3851,0,0,1.63,0.011,2.9,61,0.8,-0.08,-0.06,-0.05,0,0.001,5e-04,-0.001,0.059,0.65,35,41,40,67
"3852",3852,0,0,3.33,0.068,1.76,45,0.89,0.05,0.07,-0.07,-0.01,9e-04,2e-04,-0.003,0.092,0.3,32,45,88,87
"3853",3853,0,0,1.79,0.06,3.36,90,0.87,0.09,-0.01,-0.26,-0.03,-0.001,-9e-04,-0.004,0.077,1.24,27,41,90,53
"3854",3854,0,0,2.99,0.05,12.58,56,0.98,-0.01,-0.01,0.37,0.05,-2e-04,5e-04,-0.002,0.055,0.52,45,46,65,52
"3855",3855,0,0,3.52,0.009,7.55,49,0.92,-0.05,-0.02,0.44,0.06,2e-04,9e-04,0.003,0.048,1.8,42,42,30,38
"3856",3856,0,0,1.73,0.008,15.24,90,0.97,0.03,0.07,0.03,-0.06,-2e-04,-8e-04,0.003,0.075,0.49,28,31,86,89
"3857",3857,0,0,2.9,0.015,7.66,98,0.87,0.05,0,0.28,-0.02,6e-04,0,-0.004,0.054,1.49,38,44,30,69
"3858",3858,0,0,3.7,-0.006,15.68,68,0.82,0.07,-0.01,0.26,0.02,-5e-04,-3e-04,0.002,0.097,1.43,30,50,74,92
"3859",3859,0,0,1.46,0.004,1.52,50,0.93,0.07,0.07,-0.3,-0.03,-7e-04,4e-04,0.001,0.094,0.02,37,29,93,86
"3860",3860,0,0,1.86,0.068,1.22,55,0.87,0.04,-0.09,-0.45,0.04,3e-04,0,-0.004,0.064,0.76,31,27,38,35
"3861",3861,0,0,1.82,0.013,13.25,85,0.96,-0.02,0,0.05,-0.01,8e-04,-4e-04,-0.002,0.078,1.52,32,28,33,57
"3862",3862,0,0,1.33,0.028,16.87,72,0.92,0.07,0.06,0.34,0.02,-4e-04,5e-04,-0.005,0.083,1.66,43,31,48,37
"3863",3863,0,0,3.2,0.033,15.3,42,0.87,0.02,0.06,-0.08,0.07,-2e-04,4e-04,0,0.085,0.81,39,50,55,51
"3864",3864,0,0,2.64,0.066,11.11,87,0.85,-0.03,0.09,-0.09,-0.06,-2e-04,4e-04,-0.005,0.078,1.64,41,45,82,85
"3865",3865,0,0,1.19,0.029,10.21,65,0.9,0,-0.08,0.33,-0.04,-0.001,-1e-04,0.004,0.044,1.02,49,31,31,42
"3866",3866,0,0,3.41,0.027,18.59,39,0.99,-0.07,0.02,-0.42,0.02,-5e-04,5e-04,-0.003,0.062,1.47,35,34,69,41
"3867",3867,0,0,2.39,0.03,11.17,69,0.83,-0.07,0.09,0.28,-0.01,-8e-04,9e-04,-0.001,0.035,0.18,45,26,35,82
"3868",3868,0,0,1.4,-0.001,18.53,94,0.96,0.04,0.04,-0.17,0.04,-6e-04,-1e-04,0.003,0.075,1.53,32,34,28,69
"3869",3869,0,0,3.78,0.07,15.57,39,0.91,-0.03,-0.05,0.18,-0.1,3e-04,-4e-04,0.001,0.068,0.03,35,38,50,38
"3870",3870,0,0,3.73,0.005,3.1,83,0.83,0.09,-0.06,-0.3,0.04,-4e-04,-6e-04,0.004,0.042,1.07,25,32,72,53
"3871",3871,0,0,3.55,0.028,5.75,34,0.9,0.04,0.05,0.48,-0.04,8e-04,6e-04,0.004,0.045,1.74,47,35,26,29
"3872",3872,0,0,2.8,0.063,10.82,46,0.89,0.06,0.07,-0.16,-0.08,-0.001,-3e-04,-0.001,0.034,1.54,33,37,31,84
"3873",3873,0,0,1.99,-0.006,8.17,38,0.86,0.01,0.08,-0.13,-0.02,5e-04,-5e-04,0.002,0.072,1.16,45,33,39,82
"3874",3874,0,0,1.5,0.055,9.04,61,0.81,-0.07,-0.05,0.41,-0.07,6e-04,4e-04,-0.003,0.049,1.97,25,39,80,76
"3875",3875,0,0,3.52,0.013,14.01,95,0.89,0.04,0.01,0.39,-0.04,-4e-04,6e-04,-0.001,0.058,1.08,30,39,77,51
"3876",3876,0,0,3.47,0.056,19.92,79,0.91,0,0.08,0.21,0.01,4e-04,-1e-04,-0.002,0.058,0.69,48,42,77,59
"3877",3877,0,0,2.06,0.053,5.36,59,0.9,-0.06,-0.01,0.25,-0.07,-8e-04,-6e-04,-0.005,0.084,0.92,43,33,43,68
"3878",3878,0,0,1.29,-0.003,13.73,53,0.91,0.08,-0.07,0.18,-0.01,3e-04,5e-04,0.004,0.038,1.16,28,45,31,70
"3879",3879,0,0,2.41,0.063,11.1,40,0.98,-0.03,0.03,-0.01,-0.08,-8e-04,1e-04,0.004,0.068,0.52,29,26,31,48
"3880",3880,0,0,3.52,0.037,14.55,41,0.87,-0.02,-0.08,-0.36,0.01,3e-04,0.001,-0.003,0.045,1.75,36,34,26,54
"3881",3881,0,0,1.06,0.022,16.8,92,0.83,-0.07,0,0.16,0.09,2e-04,0.001,-0.001,0.072,1.71,40,38,32,89
"3882",3882,0,0,3.56,0.068,13.46,40,0.85,0.1,-0.05,-0.17,0.07,-4e-04,0,-0.004,0.087,1.65,35,39,35,52
"3883",3883,0,0,3.35,0.059,19.63,93,0.99,-0.1,0.07,0.15,0.02,3e-04,-1e-04,-0.002,0.049,0.85,26,40,71,43
"3884",3884,0,0,3.43,0.043,19.27,64,0.98,-0.06,0.01,0.21,0.08,-8e-04,5e-04,-0.002,0.056,0.03,26,42,90,94
"3885",3885,0,0,2.03,0.061,13.71,37,0.93,-0.01,-0.01,-0.33,0.09,8e-04,-2e-04,-0.004,0.08,1.12,46,34,38,83
"3886",3886,0,0,1.75,0.039,8.51,90,0.92,-0.05,0.06,0.22,-0.07,-3e-04,-8e-04,0.004,0.089,2,30,42,90,91
"3887",3887,0,0,1.95,0.044,11.69,43,0.83,0.01,-0.06,0.36,-0.09,3e-04,4e-04,-0.002,0.072,1.1,30,44,69,65
"3888",3888,0,0,3.6,0.01,11.41,81,0.92,0.06,0.04,-0.17,0.09,9e-04,9e-04,0.001,0.059,1.22,38,30,63,75
"3889",3889,0,0,2.64,0.033,7.95,58,0.97,-0.06,0.05,0.33,-0.09,-7e-04,-1e-04,0,0.083,1.32,49,40,87,89
"3890",3890,0,0,3.33,0.053,7.47,61,0.89,-0.07,0.01,0.08,-0.01,4e-04,-6e-04,-0.004,0.045,0.36,44,27,34,38
"3891",3891,0,0,2.32,0.047,10.2,87,0.9,-0.06,0.03,-0.02,0.01,8e-04,-2e-04,-0.001,0.047,1.83,49,47,32,47
"3892",3892,0,0,2.4,0.049,8.79,60,0.83,-0.07,0.03,-0.08,0.09,1e-04,-3e-04,0,0.09,0.63,50,48,86,50
"3893",3893,0,0,1.42,0.034,10.88,49,0.95,-0.08,-0.02,-0.27,-0.07,5e-04,-8e-04,-0.004,0.09,0.87,32,45,57,70
"3894",3894,0,0,2.83,0.004,12.32,75,0.88,0.07,-0.01,0.31,-0.03,9e-04,-8e-04,0.004,0.034,0.95,35,42,81,30
"3895",3895,0,0,2.48,0.067,16.2,64,0.99,0.07,-0.08,-0.02,-0.05,9e-04,2e-04,-0.004,0.048,0.07,26,40,68,79
"3896",3896,0,0,1.35,0.051,0.66,98,0.97,0.05,-0.05,0.02,0.02,-6e-04,8e-04,0.005,0.093,1.52,46,47,36,48
"3897",3897,0,0,2.62,0.053,9.55,76,0.94,-0.02,0.02,-0.38,0.08,4e-04,2e-04,-0.002,0.093,0.96,38,32,80,45
"3898",3898,0,0,2.92,0.014,2.22,40,0.9,0.01,-0.09,-0.11,0.02,-1e-04,-6e-04,0.004,0.031,1.4,46,50,67,86
"3899",3899,0,0,1.58,0.003,12.69,75,0.94,0.09,-0.07,0.45,0.07,3e-04,5e-04,0.002,0.075,0.55,49,48,52,35
"3900",3900,0,0,2.13,0.029,0.77,84,0.89,0,0.01,-0.24,-0.08,2e-04,0,0.003,0.031,1.73,33,40,81,33
"3901",3901,0,0,2.85,0.016,2.87,49,0.82,-0.05,-0.09,0.14,-0.04,-1e-04,-3e-04,0.002,0.094,0.94,44,40,54,62
"3902",3902,0,0,1.94,0.053,8.05,66,0.85,0.01,0.04,0.01,-0.1,-1e-04,4e-04,0,0.097,0.3,40,43,55,75
"3903",3903,0,0,3.04,0.03,5.45,51,0.82,-0.02,0.09,-0.02,0.07,-4e-04,9e-04,-0.002,0.046,0.48,37,26,78,70
"3904",3904,0,0,3.25,0.034,11.25,77,0.81,0.06,-0.03,-0.14,0.04,-6e-04,5e-04,-0.003,0.093,0.85,27,38,63,59
"3905",3905,0,0,2.81,0.051,10.14,56,0.85,-0.03,-0.01,-0.22,-0.06,0.001,9e-04,0,0.047,0.78,43,41,88,93
